NORAD_CAT_ID,SATNAME,EPOCH,Orb,Inc,Ecc,MnM,ApA,PeA,AvA,LAN,AgP,MnA,SMa,T,Vel
87328,TBA - TO BE ASSIGNED,2020-11-06T03:21:13.561056,37126.0,65.7614,0.0249843,14.68901305,840.5350197651605,488.62042489103715,664.5777223280988,209.1166,177.0706,183.1942,7042.714722328098,5881.947255809667,7523.134727582319
87331,TBA - TO BE ASSIGNED,2020-11-07T11:03:09.917280,38453.0,66.9057,0.0011313,15.28558906,487.87820927377925,472.36071819893095,480.1194637363551,344.376,139.1318,221.0682,6858.256463736355,5652.382754819387,7623.633804536044
87333,TBA - TO BE ASSIGNED,2020-11-07T15:59:31.215264,35237.0,66.5367,0.0031107,13.8586153,965.9443357917535,920.3955567562052,943.1699462739793,86.7249,314.5539,45.2995,7321.3069462739795,6234.389087919909,7378.610411614308
87334,TBA - TO BE ASSIGNED,2020-11-07T19:56:27.343392,13138.0,89.9896,0.007352,13.58332601,1096.3090500923845,987.2069142743603,1041.7579821833724,271.3943,88.1617,272.7957,7419.894982183372,6360.7396256551965,7329.426745410576
87335,TBA - TO BE ASSIGNED,2020-11-07T09:47:43.781568,13136.0,89.9762,0.0095126,13.58586672,1111.406577013705,970.2591911748341,1040.8328840942695,270.5508,83.8571,277.3412,7418.969884094269,6359.550095748318,7329.883697482506
87342,TBA - TO BE ASSIGNED,2020-11-07T17:41:46.850784,28562.0,102.6835,0.0839668,11.2740299,2728.6469583447533,1317.7780880554737,2023.2125232001135,133.0617,0.753,359.455,8401.349523200113,7663.630553259386,6888.019394698039
87350,TBA - TO BE ASSIGNED,2020-11-07T14:48:27.929952,36124.0,98.0505,0.0254291,14.22912012,998.4496580310552,632.5931404312778,815.5213992311665,187.1096,347.1048,12.3708,7193.658399231166,6072.055002091015,7443.787769273034
87359,TBA - TO BE ASSIGNED,2020-11-07T06:42:13.992768,34846.0,65.8499,0.0127109,13.66757205,1105.1616491740842,917.3104849379988,1011.2360670560415,258.9986,82.1662,279.3804,7389.373067056041,6321.532433406845,7344.548299528899
87382,TBA - TO BE ASSIGNED,2020-11-07T04:21:29.401056,28233.0,70.9658,0.0018966,14.6838931,679.575037648643,652.8544027036696,666.2147201761563,234.8288,264.1833,95.7155,7044.351720176156,5883.998161223325,7522.260547004292
87397,TBA - TO BE ASSIGNED,2020-11-07T06:51:35.210016,28347.0,81.2404,0.001164,14.64106918,688.159737730798,671.7285248571461,679.9441312939721,314.6987,210.3861,149.6666,7058.081131293972,5901.2083706307485,7514.940818178171
87405,TBA - TO BE ASSIGNED,2020-11-07T14:01:10.542720,35237.0,82.7581,0.0055478,13.88519954,974.3874603819395,893.2568861788886,933.8221732804141,74.6371,245.7007,113.8356,7311.959173280414,6222.452889575103,7383.325395877702
87410,TBA - TO BE ASSIGNED,2020-11-04T07:54:25.376832,955.0,102.291,0.0185527,12.18324592,1747.8602675827779,1451.8339755582547,1599.8471215705163,257.9772,148.8958,212.323,7977.9841215705155,7091.706148536799,7068.4193004678245
87415,TBA - TO BE ASSIGNED,2020-11-07T02:14:43.662624,35167.0,65.3562,0.0025462,13.86571162,959.306907304669,922.0366055933273,940.6717564489982,194.3268,323.6857,36.2478,7318.808756448998,6231.198395571412,7379.8696053812055
87416,TBA - TO BE ASSIGNED,2020-11-07T03:44:37.184352,34279.0,82.8352,0.0016517,14.25556338,818.4898293981023,794.7556940013037,806.622761699703,99.7731,59.2084,301.0723,7184.759761699703,6060.7916851056,7448.396070313062
