 HQ AFSPC Sgp4Prop DLL - Version: v8.0 - Build: Nov 05 2020 - Platform: Windows 64-bit                                          


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME

INPUT FILE = C:\Users\rober\Documents\MATLAB\ASTRAIOS\ASTRAIOS/historicTLE.txt
Start Time =         0.0000 min from epoch
Stop Time  =      1440.0000 min from epoch
Step size  =       360.0000 min


     EPOCH (MIN)     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


     25927.9197601     7200.0000000     -317.1574843     5907.7004867    -3355.9570908       -5.5936899        2.3477527        4.6665287
     25928.9197601     8640.0000000     -108.3773082    -5948.8012557     3277.0238954        5.3804180       -2.7143273       -4.7351750
     25929.9197601    10080.0000000      562.1274060     5961.5666122    -3225.7847180       -5.1289444        3.0680756        4.7816451
     25930.9197601    11520.0000000     -994.3014116    -5938.9421515     3143.6348905        4.8712902       -3.3901733       -4.8491694
     25931.9197601    12960.0000000     1449.9239450     5883.4825867    -3089.0267918       -4.5794026        3.6955827        4.8949777
     25932.9197601    14400.0000000    -1879.0637862    -5795.9503712     3003.6049488        4.2864097       -3.9686265       -4.9610948
     25933.9197601    15840.0000000     2326.1646294     5671.8447302    -2945.5812519       -3.9634052        4.2220942        5.0060410
     25934.9197601    17280.0000000    -2742.3372844    -5519.7176030     2856.8377011        3.6443945       -4.4433074       -5.0704535
     25935.9197601    18720.0000000     3170.3816711     5328.1619633    -2795.3650071       -3.2996317        4.6430020        5.1143280
     25936.9197601    20160.0000000    -3563.6315183    -5113.3147697     2703.2569719        2.9638474       -4.8113693       -5.1767259
     25937.9197601    21600.0000000     3962.2036135     4857.1715109    -2638.3159709       -2.6064123        4.9571467        5.2193097
     25938.9197601    23040.0000000    -4322.8074229    -4583.0688959     2542.8089295        2.2626895       -5.0733062       -5.2793717
     25939.9197601    24480.0000000     4681.8856531     4266.8722360    -2474.3951609       -1.9010918        5.1665627        5.3204362
     25940.9197601    25920.0000000    -5000.6189159    -3938.5528313     2375.4642927        1.5575596       -5.2326348       -5.3778299
     25941.9197601    27360.0000000     5310.8593232     3568.4661870    -2303.5888561       -1.1994718        5.2761052        5.4171373
     25942.9197601    28800.0000000    -5579.2660801    -3192.4795805     2201.2205839        0.8633031       -5.2954674       -5.4715202
     25943.9197601    30240.0000000     5832.2846919     2776.2015753    -2125.9108015       -0.5153523        5.2929791        5.5088235
     25944.9197601    31680.0000000    -6042.9419957    -2360.4959244     2020.1044186        0.1925713       -5.2699978       -5.5598438
     25945.9197601    33120.0000000     6231.5862162     1907.1136716    -1941.4044521        0.1398089        5.2261925        5.5948871
     25946.9197601    34560.0000000    -6378.3536320    -1460.8735678     1832.1738173       -0.4444539       -5.1659258       -5.6421849
     25947.9197601    36000.0000000     6496.9520631      980.6639280    -1750.1452428        0.7571059        5.0859632        5.6747038
     25948.9197601    37440.0000000    -6575.1962191     -514.1000760     1637.5205273       -1.0402010       -4.9938484       -5.7179125
