 HQ AFSPC Sgp4Prop DLL - Version: v8.0 - Build: Nov 05 2020 - Platform: Windows 64-bit                                          


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME

INPUT FILE = C:\Users\rober\Documents\MATLAB\ASTRAIOS\ASTRAIOS/historicTLE.txt
Start Time =         0.0000 min from epoch
Stop Time  =      1440.0000 min from epoch
Step size  =       360.0000 min


     EPOCH (MIN)     TSINCE (MIN)           A (KM)          ECC (-)        INC (DEG)       RAAN (DEG)      OMEGA (DEG)   TRUE ANOM(DEG)


     25946.2281365    33120.0000000     6791.8996373        0.0012905       51.6258466       29.1449027       85.0978260      174.5845185
     25947.2281365    34560.0000000     6791.8083552        0.0003221       51.6256054       24.1936229      147.6669718      293.0491976
     25948.2281365    36000.0000000     6791.7387065        0.0013054       51.6253684       19.2422210       86.1462356      175.7078892
     25949.2281365    37440.0000000     6791.6608514        0.0002539       51.6251737       14.2908464      147.2953249      295.6252679
     25950.2281365    38880.0000000     6791.6087035        0.0013170       51.6249938        9.3393683       87.2615597      176.8086150
     25951.2281365    40320.0000000     6791.5460592        0.0001869       51.6248510        4.3879027      143.7162827      301.4532714
     25952.2281365    41760.0000000     6791.5123580        0.0013250       51.6247317      359.4363538       88.4376583      177.8928595
     25952.2640708    41811.7454352     6792.4616790        0.0003849       51.6279357      359.2410774       47.4488883       59.4536348


 1 25544U 98067A   20356.29483582 +.00001091  00000 0  27757-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6442 142.6592 0001560 148.6375 281.4211 15.4920571726102                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25923.2948358        0.0000000     6793.1101333        0.0007465       51.6289295      142.6755317      128.4246298      301.5752271
     25924.2948358     1440.0000000     6792.9871889        0.0013284       51.6285219      137.7249673       81.9948982      168.9351330
     25925.2948358     2880.0000000     6792.8759292        0.0006992       51.6282089      132.7744981      130.9458190      300.7253408
     25926.2948358     4320.0000000     6792.7605728        0.0013446       51.6278244      127.8238460       83.1697275      169.4487956
     25927.2948358     5760.0000000     6792.6529237        0.0006496       51.6275256      122.8732878      133.4213782      299.9658552
     25928.2948358     7200.0000000     6792.5461781        0.0013587       51.6271678      117.9225489       84.3561304      169.9951069
     25929.2948358     8640.0000000     6792.4432238        0.0005978       51.6268866      112.9719011      135.8108706      299.3372124
     25930.2948358    10080.0000000     6792.3461145        0.0013705       51.6265591      108.0210769       85.5551140      170.5730739
     25931.2948358    11520.0000000     6792.2490177        0.0005439       51.6262992      103.0703392      138.0560516      298.8976605
